fee_rate,strategy_name,segment_name,horizon,diagnostic,value,count
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.004135469522019861,106
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.006458937553040942,125
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.0018975356707198413,255
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_tau:tau_gt_0_5,0.008645376936625997,402
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_position:position_eq_0,0.0016891662319844267,1038
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_position:position_0_to_0_05,0.009347190469849368,112
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_position:position_0_05_to_0_10,-0.005471257427730643,136
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_position:position_0_10_to_0_20,0.0013613979739460454,268
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_position:position_gt_0_20,0.011771759951695139,266
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_5y_full,5d,avg_forward_return_conditional_gate:gate_gt_0_75,0.0030507097117692546,1820
0.0,v4.2_candidate_C,ETH_5y_full,20d,pct_tau_gt_0_25_and_forward_negative,0.18005540166204986,325
0.0,v4.2_candidate_C,ETH_5y_full,20d,pct_position_gt_0_10_and_forward_negative,0.14238227146814406,257
0.0,v4.2_candidate_C,ETH_5y_full,20d,pct_gate_gt_0_5_and_forward_negative,0.5346260387811634,965
0.0,v4.2_candidate_C,ETH_5y_full,20d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_tau:tau_le_0,0.008497719491792923,932
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.018339634135902956,104
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.016293715293278284,117
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.002433596974463736,250
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_tau:tau_gt_0_5,0.029931718446076554,402
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_position:position_eq_0,0.009485710923247985,1036
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_position:position_0_to_0_05,0.016957255439900707,107
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_position:position_0_05_to_0_10,-0.005954082363681832,131
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_position:position_0_10_to_0_20,0.01327455384012545,265
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_position:position_gt_0_20,0.03300119530436128,266
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_5y_full,20d,avg_forward_return_conditional_gate:gate_gt_0_75,0.012829757771471087,1805
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,pct_tau_gt_0_25_and_forward_negative,0.18904109589041096,138
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,pct_position_gt_0_10_and_forward_negative,0.15342465753424658,112
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,pct_gate_gt_0_5_and_forward_negative,0.4986301369863014,364
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_le_0,0.00016544567672310367,386
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.0002962190454554837,43
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.011340102371093962,40
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.0024545920515099164,114
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_gt_0_5,-0.000758105686000688,147
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_eq_0,0.00017705111798941377,433
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_to_0_05,0.012712063149395766,32
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.003013723666656848,61
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.006394717063274823,96
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_gt_0_20,0.000792083841087642,108
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_gt_0_75,0.00019032673328661746,730
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,pct_tau_gt_0_25_and_forward_negative,0.16575342465753426,121
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,pct_position_gt_0_10_and_forward_negative,0.13150684931506848,96
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,pct_gate_gt_0_5_and_forward_negative,0.4767123287671233,348
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_le_0,0.0011554012444437718,386
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_to_0_1,-0.010322698181088125,43
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.02915579996895711,40
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,0.0033996087740917795,114
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_gt_0_5,-0.00043620030918929014,147
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_eq_0,0.000191957611060666,433
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_to_0_05,0.030060538549928982,32
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.004594982039405807,61
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.00668915786754504,96
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_gt_0_20,0.007486899850148162,108
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_gt_0_75,0.002043527139893738,730
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,pct_tau_gt_0_25_and_forward_negative,0.17397260273972603,127
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,pct_position_gt_0_10_and_forward_negative,0.13561643835616438,99
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,pct_gate_gt_0_5_and_forward_negative,0.5356164383561643,391
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_le_0,0.011277233472887477,386
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.0033564999376099742,43
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.03447309580207243,40
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,0.011272018072764995,114
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_gt_0_5,-0.007788546085867925,147
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_eq_0,0.01177204205252044,433
0.0,v4.2_candidate_D,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_to_0_05,0.016695355339313416,32
